Datum,Type,Source,Beschreibung,Change,Total,Credit
"26 Jul, 2014",2 Market Transactions,Wallet,Steam Community Market,"+0,79€",,Nein
"12 Jul, 2014",Market Transaction,Wallet,Steam Community Market,"+1,39€",,Nein
"17 Jun, 2014",Market Transaction,Wallet,Steam Community Market,"-1,40€",,Nein
"3 Jun, 2014",2 Market Transactions,Wallet,Steam Community Market,"-1,09€",,Nein
"26 May, 2014",Market Transaction,Wallet,Steam Community Market,"-2,91€",,Nein
"23 May, 2014",3 Market Transactions,Wallet,Steam Community Market,"-1,19€",,Nein
"22 May, 2014",Market Transaction,Wallet,Steam Community Market,"+0,35€",,Nein
"22 May, 2014",2 Market Transactions,Wallet,Steam Community Market,"-0,86€",,Nein
"21 May, 2014",2 Market Transactions,Wallet,Steam Community Market,"+0,90€",,Nein
"20 May, 2014",5 Market Transactions,Wallet,Steam Community Market,"+0,23€",,Nein
"17 May, 2014",Market Transaction,Wallet,Steam Community Market,"-2,10€",,Nein
"16 May, 2014",2 Market Transactions,Wallet,Steam Community Market,"-4,18€",,Nein
"15 May, 2014",Market Transaction,Wallet,Steam Community Market,"+8,70€",,Nein
"13 May, 2014",3 Market Transactions,Wallet,Steam Community Market,"-1,04€",,Nein
"11 May, 2014",Market Transaction,Wallet,Steam Community Market,"+1,22€",,Nein
"11 May, 2014",Market Transaction,Wallet,Steam Community Market,"-0,23€",,Nein
"9 May, 2014",Market Transaction,Wallet,Steam Community Market,"-0,40€",,Nein
"8 May, 2014",Market Transaction,Wallet,Steam Community Market,"+1,24€",,Nein
"8 May, 2014",In-Game Purchase,Wallet,Counter-Strike 2,"-0,75€",,Nein
"8 May, 2014",Market Transaction,Wallet,Steam Community Market,"+1,80€",,Nein
"7 May, 2014",Market Transaction,Wallet,Steam Community Market,"-0,49€",,Nein
"5 May, 2014",Market Transaction,Wallet,Steam Community Market,"-0,50€",,Nein
"3 May, 2014",Market Transaction,Wallet,Steam Community Market,"-1,67€",,Nein
"3 May, 2014",3 Market Transactions,Wallet,Steam Community Market,"+3,04€",,Nein
"2 May, 2014",3 Market Transactions,Wallet,Steam Community Market,"+0,57€",,Nein
"13 Apr, 2014",Market Transaction,Wallet,Steam Community Market,"-0,35€",,Nein
"2 Apr, 2014",9 Market Transactions,Wallet,Steam Community Market,"+1,11€",,Nein
"1 Feb, 2014",2 Market Transactions,Wallet,Steam Community Market,"+0,10€",,Nein
"31 Jan, 2014",Purchase,"3,86€ Wallet 8,13€ PaySafeCard",The Stanley Parable,"-3,86€",,Nein
"30 Jan, 2014",19 Market Transactions,Wallet,Steam Community Market,"+3,22€",,Nein
"19 Jan, 2014",Market Transaction,Wallet,Steam Community Market,"+0,19€",,Nein
"14 Jan, 2014",Market Transaction,Wallet,Steam Community Market,"+0,07€",,Nein
"14 Jan, 2014",Market Transaction,Wallet,Steam Community Market,"-2,25€",,Nein
"14 Jan, 2014",6 Market Transactions,Wallet,Steam Community Market,"+0,60€",,Nein
"12 Jan, 2014",Market Transaction,Wallet,Steam Community Market,"+0,65€",,Nein
"8 Jan, 2014",3 Market Transactions,Wallet,Steam Community Market,"-1,88€",,Nein
"27 Dec, 2013",Purchase,Wallet,Dark Souls,"-5,99€",,Nein
"30 Nov, 2013",In-Game Purchase,Wallet,Counter-Strike 2,"-0,75€",,Nein
"30 Nov, 2013",Purchase,PaySafeCard,"Purchased 10,--€ Wallet Credit","+10,--€",,Nein
